car_name,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,car_prices_in_rupee
Hyundai i20 1.4 Magna Executive,"65,392 kms",Diesel,Manual,1st Owner,2017,1396 cc,5 Seats,6 Lakh
Mercedes-Benz CLA 200 CGI Sport,"37,000 kms",Petrol,Automatic,1st Owner,2018,1991 cc,5 Seats,27 Lakh
Maruti XL6 Zeta,"9,000 kms",Petrol,Manual,1st Owner,2020,1462 cc,6 Seats,10.90 Lakh
Hyundai Grand i10 1.2 Kappa Sportz Option AT,"32,000 kms",Petrol,Automatic,1st Owner,2017,1197 cc,5 Seats,5.90 Lakh
Mahindra XUV500 W8 2WD,"68,000 kms",Diesel,Manual,1st Owner,2012,2179 cc,7 Seats,6.50 Lakh
Hyundai i20 Magna 1.2,"13,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats,6.75 Lakh
Datsun RediGO AMT 1.0 T Option,"30,000 kms",Petrol,Automatic,1st Owner,2020,999 cc,5 Seats,3.70 Lakh
Honda Brio VX AT,"34,300 kms",Petrol,Automatic,1st Owner,2015,1198 cc,5 Seats,5.25 Lakh
Honda City i VTEC CVT SV,"45,000 kms",Petrol,Automatic,1st Owner,2015,1497 cc,5 Seats,7.25 Lakh
Toyota Corolla Altis GL MT,"37,000 kms",Petrol,Manual,1st Owner,2014,1798 cc,5 Seats,8.50 Lakh
Jeep Compass 1.4 Sport,"50,000 kms",Petrol,Manual,1st Owner,2018,1368 cc,5 Seats,14 Lakh
Volvo XC60 D4 Summum,"1,05,241 kms",Diesel,Automatic,1st Owner,2015,1985 cc,5 Seats,15 Lakh
Toyota Corolla Altis 1.8 G,"54,000 kms",Petrol,Manual,1st Owner,2019,1798 cc,5 Seats,13.90 Lakh
Hyundai Verna VTVT 1.6 SX,"19,600 kms",Petrol,Manual,1st Owner,2019,1591 cc,5 Seats,8.90 Lakh
Audi A4 2.0 TDI Technology Edition,"48,000 kms",Diesel,Automatic,1st Owner,2015,1968 cc,5 Seats,16.90 Lakh
Audi Q3 2.0 TDI,"69,500 kms",Diesel,Automatic,1st Owner,2012,1968 cc,5 Seats,13.90 Lakh
BMW 5 Series 530d,"71,000 kms",Diesel,Automatic,2nd Owner,2012,2993 cc,5 Seats,15 Lakh
Porsche Cayenne S Diesel,"48,894 kms",Diesel,Automatic,1st Owner,2014,4134 cc,5 Seats,45 Lakh
Maruti A-Star Zxi,"46,257 kms",Petrol,Manual,3rd Owner,2008,998 cc,5 Seats,1.53 Lakh
Ford Ecosport 1.5 DV5 MT Titanium,"78,264 kms",Diesel,Manual,2nd Owner,2015,1498 cc,5 Seats,5.09 Lakh
Honda Jazz 1.2 S AT i VTEC,"42,451 kms",Petrol,Automatic,1st Owner,2016,1199 cc,5 Seats,5.46 Lakh
Volkswagen Vento Diesel Highline,"1,31,861 kms",Diesel,Manual,2nd Owner,2012,1598 cc,5 Seats,2.73 Lakh
Maruti Wagon R VXI BS IV,"1,28,004 kms",Petrol,Manual,2nd Owner,2012,998 cc,5 Seats,1.80 Lakh
Chevrolet Beat Diesel PS,"1,50,349 kms",Diesel,Manual,1st Owner,2012,936 cc,5 Seats,1.10 Lakh
Maruti Wagon R VXI BS IV,"29,033 kms",Petrol,Manual,1st Owner,2017,998 cc,5 Seats,3.69 Lakh
BMW 3 Series 320d Luxury Line,"99,000 kms",Diesel,Automatic,1st Owner,2015,1995 cc,5 Seats,13.50 Lakh
Renault KWID RXL,"47,000 kms",Petrol,Manual,1st Owner,2018,799 cc,5 Seats,2.75 Lakh
Maruti Baleno 1.3 Sigma,"35,000 kms",Diesel,Manual,1st Owner,2018,1248 cc,5 Seats,5.50 Lakh
Mercedes-Benz C-Class C 220 CDI BE COR,"58,000 kms",Diesel,Automatic,1st Owner,2013,2143 cc,5 Seats,9.75 Lakh
Honda City S,"48,000 kms",Petrol,Manual,1st Owner,2012,1497 cc,5 Seats,4 Lakh
Honda Amaze VX AT i-Vtech,"45,000 kms",Petrol,Automatic,1st Owner,2014,1198 cc,5 Seats,4.75 Lakh
Hyundai EON D Lite,"60,000 kms",Petrol,Manual,2nd Owner,2012,814 cc,5 Seats,1.90 Lakh
Hyundai i20 Magna Optional 1.2,"23,000 kms",Petrol,Manual,1st Owner,2014,1197 cc,5 Seats,4.65 Lakh
Hyundai Grand i10 1.2 Kappa Era,"45,000 kms",Petrol,Manual,1st Owner,2019,1197 cc,5 Seats,4.60 Lakh
Hyundai i10 Magna 1.1L,"45,000 kms",Petrol,Manual,1st Owner,2014,1086 cc,5 Seats,3.25 Lakh
Maruti Ertiga VDI,"58,000 kms",Diesel,Manual,1st Owner,2013,1248 cc,7 Seats,5.25 Lakh
Hyundai i20 1.2 Spotz,"48,000 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats,6.25 Lakh
BMW 2 Series 220i M Sport,"18,000 kms",Petrol,Automatic,1st Owner,2021,1998 cc,5 Seats,40 Lakh
Skoda Kushaq 1.0 TSI Style 6 Airbags AT,"16,000 kms",Petrol,Automatic,1st Owner,2022,999 cc,5 Seats,16.75 Lakh
Honda City i-VTEC VX,"24,000 kms",Petrol,Manual,1st Owner,2019,1497 cc,5 Seats,10 Lakh
MG Hector Plus Select Diesel MT 7 STR,"36,000 kms",Diesel,Manual,1st Owner,2021,1956 cc,7 Seats,17.90 Lakh
Jeep Compass 1.4 Limited Plus,"35,000 kms",Petrol,Automatic,2nd Owner,2019,1368 cc,5 Seats,13.90 Lakh
Honda Amaze E Petrol BSIV,"64,000 kms",Petrol,Manual,1st Owner,2019,1199 cc,5 Seats,6.10 Lakh
Maruti Vitara Brezza VDi,"72,000 kms",Diesel,Manual,1st Owner,2017,1248 cc,5 Seats,7.75 Lakh
Hyundai Grand i10 Magna,"29,900 kms",Petrol,Manual,1st Owner,2015,1197 cc,5 Seats,4.60 Lakh
Mahindra XUV700 AX5 Diesel AT,"20,000 kms",Diesel,Automatic,1st Owner,2022,2198 cc,5 Seats,20.91 Lakh
Tata Indigo VX BSIV,"1,60,000 kms",Diesel,Manual,1st Owner,2013,1396 cc,5 Seats,3.10 Lakh
Tata Tiago XZ Plus,"16,000 kms",Petrol,Manual,1st Owner,2020,1199 cc,5 Seats,5.65 Lakh
Honda WR-V i-VTEC VX,"17,000 kms",Petrol,Manual,1st Owner,2019,1199 cc,5 Seats,9 Lakh
Lexus NX 300h,"1,11,000 kms",Petrol,Automatic,1st Owner,2018,2499 cc,5 Seats,42 Lakh
Mercedes-Benz M-Class ML 250 CDI,"38,000 kms",Diesel,Automatic,2nd Owner,2015,2143 cc,5 Seats,28.50 Lakh
Honda Jazz 1.5 SV i DTEC,"32,000 kms",Diesel,Manual,1st Owner,2015,1498 cc,5 Seats,5.50 Lakh
Volkswagen Polo 1.2 MPI Comfortline,"67,000 kms",Petrol,Manual,1st Owner,2015,1198 cc,5 Seats,4.50 Lakh
Ford Ecosport 1.5 Petrol Titanium AT,"50,000 kms",Petrol,Automatic,1st Owner,2016,1496 cc,5 Seats,6.75 Lakh
Maruti Swift VDI BSIV,"1,10,000 kms",Diesel,Manual,2nd Owner,2010,1248 cc,5 Seats,1.80 Lakh
Hyundai Verna VTVT 1.6 AT EX,"51,000 kms",Petrol,Automatic,1st Owner,2017,1591 cc,5 Seats,7.75 Lakh
Hyundai Grand i10 1.2 CRDi Sportz,"83,000 kms",Diesel,Manual,1st Owner,2017,1186 cc,5 Seats,5.50 Lakh
Audi Q3 35 TDI Quattro Premium,"38,000 kms",Diesel,Automatic,1st Owner,2016,1968 cc,5 Seats,24 Lakh
Hyundai Creta 1.6 SX Automatic Diesel,"58,000 kms",Diesel,Automatic,1st Owner,2018,1582 cc,5 Seats,13.25 Lakh
Hyundai Creta 1.6 SX,"36,000 kms",Petrol,Manual,1st Owner,2018,1591 cc,5 Seats,11 Lakh
Volkswagen Vento 1.0 TSI Highline AT,"23,500 kms",Petrol,Automatic,1st Owner,2020,999 cc,5 Seats,10.50 Lakh
Hyundai i20 1.2 Magna Executive,"60,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats,6.50 Lakh
Skoda Superb LK 1.8 TSI AT,"18,000 kms",Petrol,Automatic,1st Owner,2018,1798 cc,5 Seats,25 Lakh
Honda Amaze V Petrol BSIV,"36,500 kms",Petrol,Manual,1st Owner,2017,1199 cc,5 Seats,6 Lakh
Skoda Superb Sportline,"25,000 kms",Petrol,Automatic,1st Owner,2021,1984 cc,5 Seats,31 Lakh
Kia Seltos HTX IVT,"20,500 kms",Petrol,Automatic,1st Owner,2020,1497 cc,5 Seats,15.75 Lakh
Honda Amaze S i-Vtech,"30,000 kms",Petrol,Manual,1st Owner,2015,1198 cc,5 Seats,4.50 Lakh
Hyundai i20 Magna 1.2,"59,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats,5.90 Lakh
BMW X1 sDrive 20d xLine,"80,000 kms",Diesel,Automatic,1st Owner,2014,1995 cc,5 Seats,14.50 Lakh
Hyundai Xcent 1.2 CRDi E Plus,"50,000 kms",Diesel,Manual,2nd Owner,2017,1186 cc,5 Seats,3.80 Lakh
Tata Harrier XZAS Plus Kaziranga Edition AT,"32,000 kms",Diesel,Automatic,1st Owner,2021,1956 cc,5 Seats,21 Lakh
Hyundai i10 Era 1.1 iTech SE,"1,20,000 kms",Petrol,Manual,2nd Owner,2012,1086 cc,5 Seats,2.61 Lakh
Land Rover Discovery 2.0 R-Dynamic HSE,"33,000 kms",Petrol,Automatic,1st Owner,2021,1997 cc,7 Seats,1.10 Crore
Mini 3 DOOR Cooper S,"6,900 kms",Petrol,Automatic,1st Owner,2019,1998 cc,4 Seats,42 Lakh
Tata Harrier XZA Plus Kaziranga Edition AT,"4,500 kms",Diesel,Automatic,1st Owner,2022,1956 cc,5 Seats,22.50 Lakh
Volvo S90 D4 Inscription BSIV,"51,000 kms",Diesel,Automatic,1st Owner,2018,1969 cc,5 Seats,42 Lakh
Kia Seltos GTX Plus AT D,"12,000 kms",Diesel,Automatic,1st Owner,2022,1493 cc,5 Seats,19.75 Lakh
Maruti Vitara Brezza ZDi Plus,"37,000 kms",Diesel,Manual,1st Owner,2018,1248 cc,5 Seats,9.50 Lakh
Hyundai Verna SX Opt Diesel,"35,000 kms",Diesel,Manual,1st Owner,2021,1493 cc,5 Seats,14.51 Lakh
Maruti Wagon R VXI Optional,"80,000 kms",Petrol,Manual,2nd Owner,2016,998 cc,5 Seats,3 Lakh
Hyundai Grand i10 Magna,"60,000 kms",Petrol,Manual,1st Owner,2016,1197 cc,5 Seats,4.60 Lakh
Honda Amaze VX CVT,"10,000 kms",Petrol,Automatic,1st Owner,2022,1199 cc,5 Seats,9.15 Lakh
Maruti Ignis Zeta AMT,"59,385 kms",Petrol,Automatic,1st Owner,2019,1197 cc,5 Seats,5.50 Lakh
Jaguar XF 3.0 Litre S Premium Luxury,"51,000 kms",Diesel,Automatic,2nd Owner,2012,2993 cc,5 Seats,17 Lakh
Mahindra XUV500 AT W6 1.99 mHawk,"74,000 kms",Diesel,Automatic,1st Owner,2017,1997 cc,7 Seats,9.90 Lakh
Tata Nexon 1.2 Revotron XMA,"29,000 kms",Petrol,Automatic,1st Owner,2020,1198 cc,5 Seats,8.51 Lakh
Jeep Compass Model S 4X4 Diesel AT,"12,200 kms",Diesel,Automatic,1st Owner,2021,1956 cc,5 Seats,27.50 Lakh
Hyundai Grand i10 1.2 Kappa Sportz Option AT,"40,000 kms",Petrol,Automatic,3rd Owner,2019,1197 cc,5 Seats,5.50 Lakh
Hyundai Verna CRDi 1.6 SX,"58,000 kms",Diesel,Manual,1st Owner,2018,1582 cc,5 Seats,9.51 Lakh
Toyota Innova Crysta 2.8 ZX AT BSIV,"75,000 kms",Diesel,Automatic,2nd Owner,2019,2755 cc,7 Seats,19.90 Lakh
Land Rover Discovery Sport TD4 HSE 7S,"72,000 kms",Diesel,Automatic,1st Owner,2018,1999 cc,7 Seats,35.50 Lakh
Ford Aspire 1.2 Ti-VCT Titanium,"23,400 kms",Petrol,Manual,1st Owner,2017,1196 cc,5 Seats,5.50 Lakh
Ford Aspire 1.2 Ti-VCT Ambiente,"59,300 kms",Petrol,Manual,1st Owner,2017,1196 cc,5 Seats,3.90 Lakh
Hyundai Creta 1.4 CRDi S,"72,000 kms",Diesel,Manual,1st Owner,2016,1396 cc,5 Seats,8.90 Lakh
Maruti Swift Dzire LDI,"67,000 kms",Diesel,Manual,1st Owner,2017,1248 cc,5 Seats,4.51 Lakh
Honda Amaze S CVT i-VTEC,"33,500 kms",Petrol,Automatic,1st Owner,2018,1199 cc,5 Seats,7.25 Lakh
Hyundai Creta SX Executive,"17,000 kms",Petrol,Manual,2nd Owner,2021,1497 cc,5 Seats,12.75 Lakh
Volkswagen Ameo 1.5 TDI Highline AT,"33,000 kms",Diesel,Automatic,1st Owner,2016,1498 cc,5 Seats,6.90 Lakh
Volkswagen Polo GT TSI,"49,000 kms",Petrol,Automatic,1st Owner,2015,1197 cc,5 Seats,6.75 Lakh
Hyundai Grand i10 AT Asta,"26,000 kms",Petrol,Automatic,1st Owner,2015,1197 cc,5 Seats,5.65 Lakh
Hyundai Venue SX Opt iMT,"14,500 kms",Petrol,Manual,1st Owner,2020,998 cc,5 Seats,10 Lakh
Kia Seltos GTX Plus AT D,"10,000 kms",Diesel,Automatic,1st Owner,2022,1493 cc,5 Seats,19.75 Lakh
MG Hector Plus Sharp DCT,"15,001 kms",Petrol,Automatic,1st Owner,2020,1451 cc,6 Seats,17 Lakh
Skoda Octavia Elegance 1.8 TSI AT,"55,000 kms",Petrol,Automatic,2nd Owner,2015,1798 cc,5 Seats,9.75 Lakh
Toyota Corolla Altis G,"38,000 kms",Petrol,Manual,1st Owner,2013,1798 cc,5 Seats,6.50 Lakh
Ford Endeavour 4x4 XLT,"1,10,000 kms",Diesel,Manual,2nd Owner,2005,2953 cc,7 Seats,4 Lakh
Honda Amaze S AT i-Vtech,"65,413 kms",Petrol,Automatic,1st Owner,2013,1198 cc,5 Seats,4.75 Lakh
Honda Jazz Mode,"45,000 kms",Petrol,Manual,2nd Owner,2009,1198 cc,5 Seats,2.80 Lakh
Ford Figo 1.2P Trend MT,"44,000 kms",Petrol,Manual,1st Owner,2017,1196 cc,5 Seats,4.30 Lakh
Hyundai Grand i10 1.2 Kappa Magna BSIV,"40,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats,4.90 Lakh
Ford Ecosport 1.5 Petrol Titanium AT,"49,000 kms",Petrol,Automatic,1st Owner,2016,1496 cc,5 Seats,6.51 Lakh
Mahindra Thar LX 4-Str Hard Top Diesel AT,"19,000 kms",Diesel,Automatic,1st Owner,2022,2184 cc,4 Seats,17.51 Lakh
Hyundai i20 Magna Optional 1.4 CRDi,"56,000 kms",Diesel,Manual,2nd Owner,2013,1396 cc,5 Seats,3.91 Lakh
Honda City 1.5 V MT,"65,000 kms",Petrol,Manual,2nd Owner,2010,1497 cc,5 Seats,3.75 Lakh
Toyota Etios G,"27,680 kms",Petrol,Manual,1st Owner,2013,1496 cc,5 Seats,4.90 Lakh
Kia Seltos GTX Plus AT D,"27,305 kms",Diesel,Automatic,1st Owner,2021,1493 cc,5 Seats,18.25 Lakh
BMW 3 Series 320d,"10,793 kms",Diesel,Automatic,1st Owner,2019,1995 cc,5 Seats,33 Lakh
BMW X3 xDrive 20d Luxury Line,"12,000 kms",Diesel,Automatic,1st Owner,2020,1995 cc,5 Seats,56 Lakh
MG Hector Sharp DCT,"44,000 kms",Petrol,Automatic,1st Owner,2019,1451 cc,5 Seats,14.99 Lakh
Kia Seltos HTK G,"63,000 kms",Petrol,Manual,1st Owner,2020,1497 cc,5 Seats,11.99 Lakh
Hyundai i20 Sportz Plus Diesel,"87,000 kms",Diesel,Manual,1st Owner,2019,1396 cc,5 Seats,6.50 Lakh
Maruti Alto LXi,"61,000 kms",Petrol,Manual,1st Owner,2010,796 cc,5 Seats,1.90 Lakh
Hyundai i20 Sportz Option 1.4 CRDi,"72,000 kms",Diesel,Manual,1st Owner,2016,1396 cc,5 Seats,6.25 Lakh
Audi A4 2.0 TDI Multitronic,"70,000 kms",Diesel,Automatic,1st Owner,2015,1968 cc,5 Seats,16.51 Lakh
Nissan Micra Diesel XV,"58,000 kms",Diesel,Manual,2nd Owner,2012,1461 cc,5 Seats,2.25 Lakh
Honda Jazz Active,"90,000 kms",Petrol,Manual,3rd Owner,2009,1198 cc,5 Seats,1.30 Lakh
Honda City VX MT,"19,000 kms",Petrol,Manual,1st Owner,2022,1497 cc,5 Seats,12.50 Lakh
Toyota Corolla Altis G AT,"72,159 kms",Petrol,Automatic,1st Owner,2014,1798 cc,5 Seats,9.25 Lakh
Ford Ecosport 1.5 DV5 MT Titanium,"78,000 kms",Diesel,Manual,1st Owner,2015,1498 cc,5 Seats,5.90 Lakh
Ford Ecosport 1.5 Diesel Titanium BSIV,"58,000 kms",Diesel,Manual,1st Owner,2018,1498 cc,5 Seats,6.90 Lakh
Ford Ecosport 1.5 Diesel Titanium Plus BSIV,"72,000 kms",Diesel,Manual,1st Owner,2018,1498 cc,5 Seats,8.90 Lakh
Land Rover Range Rover Evoque 2.0 TD4 SE,"56,000 kms",Diesel,Automatic,1st Owner,2018,1999 cc,5 Seats,42.50 Lakh
Nissan Micra Diesel XV,"73,000 kms",Diesel,Manual,1st Owner,2012,1461 cc,5 Seats,2.90 Lakh
Hyundai Creta 1.6 VTVT S,"28,840 kms",Petrol,Manual,1st Owner,2016,1591 cc,5 Seats,8.90 Lakh
Maruti Swift Dzire AMT ZXI,"51,500 kms",Petrol,Automatic,1st Owner,2019,1197 cc,5 Seats,6.90 Lakh
Maruti S-Presso VXI Plus AT 2019-2022,"41,370 kms",Petrol,Automatic,1st Owner,2020,998 cc,5 Seats,4.80 Lakh
Hyundai Creta 1.6 VTVT S,"41,266 kms",Petrol,Manual,1st Owner,2016,1591 cc,5 Seats,8.75 Lakh
Hyundai Verna VTVT 1.6 AT SX Option,"31,740 kms",Petrol,Automatic,1st Owner,2018,1591 cc,5 Seats,9.90 Lakh
Maruti Ciaz VXi Plus,"77,876 kms",Petrol,Manual,1st Owner,2015,1373 cc,5 Seats,6.15 Lakh
Skoda Kushaq 1.5 TSI Style,"9,500 kms",Petrol,Manual,1st Owner,2022,1498 cc,5 Seats,20.50 Lakh
Hyundai Grand i10 1.2 Kappa Sportz Option AT,"28,387 kms",Petrol,Automatic,1st Owner,2019,1197 cc,5 Seats,6.25 Lakh
Mercedes-Benz M-Class ML 350 CDI,"1,20,000 kms",Diesel,Automatic,2nd Owner,2015,2987 cc,5 Seats,27 Lakh
Hyundai Grand i10 Magna,"20,000 kms",Petrol,Manual,2nd Owner,2017,1197 cc,5 Seats,4.50 Lakh
Mercedes-Benz C-Class Progressive C 220d,"30,686 kms",Diesel,Automatic,1st Owner,2020,1950 cc,5 Seats,42.50 Lakh
Tata Indica eV2 DL BSIII,"1,20,000 kms",Diesel,Manual,2nd Owner,2013,1396 cc,5 Seats,1 Lakh
Mahindra Bolero Power Plus SLE,"1,84,000 kms",Diesel,Manual,2nd Owner,2018,1493 cc,7 Seats,6 Lakh
Honda City 1.5 S AT,"40,000 kms",Petrol,Automatic,1st Owner,2009,1497 cc,5 Seats,4 Lakh
Maruti Ciaz Delta Diesel,"55,000 kms",Diesel,Manual,1st Owner,2015,1248 cc,5 Seats,6.25 Lakh
Hyundai Grand i10 1.2 Kappa Sportz Option,"38,000 kms",Petrol,Manual,1st Owner,2019,1197 cc,5 Seats,5.75 Lakh
Audi Q3 30 TFSI Premium FWD,"40,000 kms",Petrol,Automatic,1st Owner,2017,1395 cc,5 Seats,23.50 Lakh
Hyundai Santro GS zipDrive - Euro II,"60,000 kms",Petrol,Manual,2nd Owner,2006,999 cc,5 Seats,1.35 Lakh
Mahindra Bolero SLX,"1,10,000 kms",Diesel,Manual,3rd Owner,2009,2523 cc,7 Seats,3 Lakh
Maruti Swift LDI,"1,43,000 kms",Diesel,Manual,2nd Owner,2011,1248 cc,5 Seats,2.10 Lakh
Tata Indica Aqua 1.3 Quadrajet BSIV,"1,10,000 kms",Diesel,Manual,3rd Owner,2012,1248 cc,5 Seats,1.25 Lakh
Mahindra KUV 100 mFALCON D75 K4 Plus,"58,000 kms",Diesel,Manual,1st Owner,2017,1198 cc,6 Seats,4.75 Lakh
Honda City i VTEC SV,"65,000 kms",Petrol,Manual,2nd Owner,2014,1497 cc,5 Seats,5.50 Lakh
Tata Harrier XZ Plus,"50,000 kms",Diesel,Manual,1st Owner,2021,1956 cc,5 Seats,17 Lakh
Tata Zest Revotron 1.2 XT,"55,000 kms",Petrol,Manual,1st Owner,2015,1193 cc,5 Seats,3.49 Lakh
Land Rover Discovery Sport R-Dynamic SE Diesel,"19,500 kms",Diesel,Automatic,1st Owner,2021,1999 cc,7 Seats,70 Lakh
Mahindra XUV500 AT W10 FWD,"78,000 kms",Diesel,Automatic,2nd Owner,2016,2179 cc,7 Seats,9.25 Lakh
Honda City V MT,"58,000 kms",Petrol,Manual,1st Owner,2010,1497 cc,5 Seats,3.90 Lakh
Mahindra XUV500 W10 2WD,"91,000 kms",Diesel,Manual,1st Owner,2017,2179 cc,7 Seats,10.25 Lakh
Mahindra XUV500 AT W10 1.99 mHawk,"30,000 kms",Diesel,Automatic,1st Owner,2016,1997 cc,7 Seats,11.25 Lakh
Maruti Baleno 1.2 Zeta,"44,153 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats,7.25 Lakh
Mercedes-Benz C-Class C 250d Avantgarde Edition C,"21,000 kms",Diesel,Automatic,1st Owner,2018,2143 cc,5 Seats,34.50 Lakh
